ID,SYMBOL,NAME,EXCHANGE
29121,IAG,Iamgold Corp,New York Stock Exchange
29122,VFC,VF Corp,New York Stock Exchange
29123,BDN,Brandywine Realty Trust,New York Stock Exchange
29124,HON,Honeywell International Inc,New York Stock Exchange
29125,YNDX,Yandex NV,Nasdaq Global Select
29127,GOOGL,Alphabet Inc,Nasdaq Global Select
29128,ICE,Intercontinental Exchange Inc,New York Stock Exchange
29129,OMER,Omeros Corp,NASDAQ Global Market
29130,WY,Weyerhaeuser Co,New York Stock Exchange
29132,BLL,Ball Corp,New York Stock Exchange
29133,CGNX,Cognex Corp,Nasdaq Global Select
29134,AMGN,Amgen Inc,Nasdaq Global Select
29135,FSLR,First Solar Inc,Nasdaq Global Select
29136,IVZ,Invesco Ltd,New York Stock Exchange
29137,DG,Dollar General Corp,New York Stock Exchange
29138,SID,Companhia Sider??rgica Nacional,New York Stock Exchange
29139,SLM,SLM Corp,Nasdaq Global Select
29140,SLCA,U.S. Silica Holdings Inc,New York Stock Exchange
29141,HCP,HCP Inc.,New York Stock Exchange
29143,SGU,Star Group LP,New York Stock Exchange
29144,ODP,ODP Corp,Nasdaq Global Select
29145,PK,Park Hotels & Resorts Inc,New York Stock Exchange
29146,TLGT,Teligent Inc (NEW JERSEY),Nasdaq Global Select
29147,TOL,Toll Brothers Inc,New York Stock Exchange
29148,PDCO,Patterson Companies Inc,Nasdaq Global Select
29149,ITB,iShares U.S. Home Construction,BATS Exchange
29150,Z,Zillow Group Inc.,Nasdaq Global Select
29151,BCO,Brinks Co,New York Stock Exchange
29152,CME,CME Group Inc,Nasdaq Global Select
29153,BKD,Brookdale Senior Living Inc,New York Stock Exchange
29154,PPBI,Pacific Premier Bancorp Inc,Nasdaq Global Select
29155,JMEI,Jumei International Holding Limited American Depositary Shares each representing one Class A,New York Stock Exchange
29156,ETFC,E*Trade Financial Corp,Nasdaq Global Select
29157,AIV,Apartment Investment and Management Co,New York Stock Exchange
29159,EXC,Exelon Corp,New York Stock Exchange
29160,TAP,Molson Coors Beverage Co,New York Stock Exchange
29162,UNP,Union Pacific Corp,New York Stock Exchange
29163,IWD,iShares Russell 1000 Value,NYSE Arca
29164,BDX,Becton Dickinson and Co,New York Stock Exchange
29165,GME,GameStop Corp,New York Stock Exchange
29166,PEGI,Pattern Energy Group Inc.,Nasdaq Global Select
29167,MX,MagnaChip Semiconductor Corp,New York Stock Exchange
29168,RLJ,RLJ Lodging Trust,New York Stock Exchange
29169,LB,L Brands Inc,New York Stock Exchange
29170,TIF,Tiffany & Co,New York Stock Exchange
29171,DLPH,Delphi Technologies PLC,New York Stock Exchange
29173,NCLH,Norwegian Cruise Line Holdings Ltd,New York Stock Exchange
29174,NOV,National Oilwell Varco Inc,New York Stock Exchange
29175,CNDT,Conduent Inc,New York Stock Exchange
29176,FNSR,Finisar Corporation,Nasdaq Global Select
29177,LMT,Lockheed Martin Corp,New York Stock Exchange
29178,MTZ,MasTec Inc,New York Stock Exchange
29179,TBT,ProShares UltraShort Lehman 20 Year Treasury,NYSE Arca
29180,WEN,Wendys Co,Nasdaq Global Select
29181,VNQ,Vanguard Real Estate,NYSE Arca
29182,GPS,Gap Inc,New York Stock Exchange
29183,SYY,Sysco Corp,New York Stock Exchange
29185,WDR,Waddell & Reed Financial Inc,New York Stock Exchange
29186,FTV,Fortive Corp,New York Stock Exchange
29187,BKI,Black Knight Inc,New York Stock Exchange
29188,CTSH,Cognizant Technology Solutions Corp,Nasdaq Global Select
29189,HOLX,Hologic Inc,Nasdaq Global Select
29190,EIX,Edison International,New York Stock Exchange
29191,URA,Global X Uranium,NYSE Arca
29192,CTXS,Citrix Systems Inc,Nasdaq Global Select
29193,AMTD,TD Ameritrade Holding Corp,Nasdaq Global Select
29194,CPE,Callon Petroleum Co,New York Stock Exchange
29195,XME,SPDR S&P Metals & Mining,NYSE Arca
29196,CF,CF Industries Holdings Inc,New York Stock Exchange
29197,PNC,PNC Financial Services Group Inc,New York Stock Exchange
29198,SABR,Sabre Corp,Nasdaq Global Select
29199,WIT,Wipro Limited,New York Stock Exchange
